localword,words,type
koreatown_0,"[('lunch', 1), ('dinner', 1)]",topic 14
kprunwalk_0,"[('permanente', 3), ('kaiser', 3)]",topic 6
kraftwerk_0,"[('perfect', 1), ('summer', 1)]",topic 22
kylo ren_0,"[('wars', 2), ('star', 2)]",topic 3
kyloren_0,"[('star', 2), ('wars', 2)]",topic 3
l1c4_1,"[('stadium', 2), ('cheering', 1)]",topic 30
la boom_0,"[('party', 1), ('dance', 1)]",topic 20
la county fair_0,"[('fair', 4), ('county', 1)]",topic 6
la fashion week_0,"[('style', 1), ('fashion', 1), ('designer', 1)]",topic 24
lacc_0,"[('college', 1), ('student', 1)]",topic 28
lacma_0,"[('art', 3), ('painting', 1), ('artist', 1)]",topic 24
lacoliseum_0,"[('nfl', 2), ('stadium', 1), ('football', 1)]",topic 30
ladodger_1,"[('stadium', 3), ('win', 1)]",topic 30
ladue_0,"[('career', 2), ('arc', 2)]",topic 10
lady liberty_0,"[('international', 1), ('heading', 1)]",topic 7
lafoodie_1,"[('sushi', 2), ('japanese', 1)]",topic 14
lafreniere park_0,"[('mile', 1), ('running', 1)]",topic 22
laguardia airport_0,"[('flight', 1), ('airlines', 1)]",topic 7
laguardiaairport_0,"[('bus', 1), ('incident', 1)]",topic 1
lake erie_0,"[('trip', 1), ('vacation', 1)]",topic 22
lake michigan_4,"[('sunday', 2), ('funday', 1)]",topic 26
lake michigan_6,"[('dogs', 1), ('instagram', 1)]",topic 23
lakeaustin_0,"[('boat', 2), ('cruise', 1)]",topic 22
lakeerie_2,"[('lake', 2), ('trail', 1)]",topic 22
lakefront_1,"[('cool', 1), ('pretty', 1)]",topic 20
lakemichigan_12,"[('amazing', 2), ('yesterday', 2)]",topic 20
lakemill_0,"[('kelly', 2), ('manufacturing', 1)]",topic 9
lakesuperior_5,"[('lake', 2), ('nature', 2)]",topic 22
lakesuperior_8,"[('shore', 2), ('north', 2)]",topic 1
laketahoe_4,"[('hyatt', 2), ('regency', 1)]",topic 8
laketahoe_2,"[('lake', 2), ('trail', 1)]",topic 22
lakewale_0,"[('clerical', 2), ('administrative', 1), ('assistant', 1)]",topic 9
laram_1,"[('football', 2), ('opener', 1)]",topic 30
larams_1,"[('nfl', 10), ('football', 5), ('nation', 2), ('opener', 1)]",topic 30
las_2,"[('ride', 2), ('bikes', 2), ('mtb', 1), ('bike', 1)]",topic 19
las vegas strip_0,"[('muscle', 1), ('workout', 1), ('fitness', 1)]",topic 11
lascruce_3,"[('career', 4), ('arc', 4)]",topic 10
lasvegasblvd_1,"[('insta', 2), ('daily', 1), ('pic', 1)]",topic 23
lasvegasstrip_1,"[('travel', 3), ('wanderlust', 1)]",topic 22
latingrammy_0,"[('artist', 1), ('art', 1)]",topic 24
laval_0,"[('career', 3), ('arc', 3)]",topic 10
lawrencetownship_0,"[('career', 2), ('arc', 2)]",topic 10
lax_1,"[('airport', 10), ('international', 8), ('heading', 1)]",topic 7
lbc_1,"[('nice', 2), ('pretty', 1)]",topic 20
lbc carolina crusher_0,"[('pale', 2), ('drinking', 2), ('ale', 1), ('beer', 1)]",topic 14
lbcc_0,"[('cosplay', 10), ('comic', 1)]",topic 3
lbcc2016_0,"[('cosplay', 5), ('comic', 3)]",topic 3
ldnont_0,"[('row', 1), ('seat', 1)]",topic 30
le jardin_0,"[('lit', 1), ('party', 1)]",topic 20
leed_0,"[('career', 4), ('arc', 4)]",topic 10
lehighacre_0,"[('career', 3), ('arc', 3)]",topic 10
letsgododger_1,"[('stadium', 5), ('beat', 1)]",topic 30
letsgomet_1,"[('beer', 1), ('lager', 1), ('drinking', 1)]",topic 14
leucadia_0,"[('waves', 1), ('surfing', 1)]",topic 16
levi s stadium_0,"[('beyonc', 8), ('slay', 3), ('flawless', 1)]",topic 20
levis_0,"[('queen', 2), ('beyonc', 1)]",topic 20
lgm_2,"[('field', 2), ('win', 1)]",topic 30
liberty island_0,"[('filter', 1), ('skyline', 1)]",topic 22
liberty university_0,"[('thursday', 2), ('throwback', 1), ('tbt', 1)]",topic 20
lic_0,"[('food', 2), ('lunch', 1), ('salad', 1)]",topic 14
lifeisbeautiful_9,"[('excited', 1), ('wait', 1)]",topic 20
liftsocial_1,"[('trends', 1), ('trend', 1), ('trnd', 1)]",topic 27
lincoln theatre_0,"[('art', 2), ('arts', 1)]",topic 24
linthicum_0,"[('career', 3), ('arc', 3)]",topic 10
little italy_0,"[('street', 2), ('graffiti', 1), ('photography', 1)]",topic 24
little italy_2,"[('sunday', 3), ('funday', 2)]",topic 26
littlefall_0,"[('career', 2), ('arc', 2)]",topic 10
littleitaly_0,"[('feast', 3), ('gennaro', 1), ('cannoli', 1)]",topic 12
lnk_0,"[('craft', 3), ('beer', 3)]",topic 14
loew s jersey theatre_0,"[('music', 1), ('fest', 1)]",topic 20
londonairshow2016_0,"[('international', 2), ('airport', 2), ('flight', 1)]",topic 7
lonestarleman_0,"[('race', 1), ('racing', 1)]",topic 19
longbeachcomiccon_1,"[('cosplay', 11), ('comic', 4)]",topic 3
los_9,"[('nfl', 4), ('opener', 4), ('football', 3), ('season', 3), ('beat', 2), ('stadium', 1)]",topic 30
los_13,"[('flying', 2), ('flight', 1)]",topic 7
los angele_3,"[('county', 2), ('fair', 1)]",topic 6
los angele_6,"[('art', 7), ('street', 2), ('graffiti', 1)]",topic 24
los angele_7,"[('pic', 1), ('daily', 1)]",topic 23
los angele_8,"[('center', 3), ('medical', 1)]",topic 6
los angele_12,"[('airport', 10), ('international', 9), ('flight', 2), ('plane', 1)]",topic 7
los angele memorial_0,"[('nfl', 6), ('football', 3), ('opener', 2), ('season', 1), ('nation', 1)]",topic 30
losangele_16,"[('art', 5), ('graffiti', 1), ('street', 1)]",topic 24
losangele_17,"[('insta', 5), ('pic', 1)]",topic 23
losangele_18,"[('sunsets', 3), ('sunrise', 1)]",topic 22
losangele_19,"[('vsco', 2), ('cam', 1)]",topic 16
losangele_20,"[('travel', 2), ('usa', 1)]",topic 22
losangelesdodger_0,"[('win', 1), ('stadium', 1)]",topic 30
losangelesrams_0,"[('football', 2), ('sunday', 1), ('nfl', 1)]",topic 30
losfeliz_0,"[('property', 1), ('estate', 1)]",topic 1
louis_1,"[('airport', 2), ('international', 2)]",topic 7
lovefl_11,"[('sky', 1), ('clouds', 1)]",topic 22
lsu_0,"[('football', 2), ('college', 2)]",topic 30
ltrain_0,"[('photography', 1), ('street', 1)]",topic 24
ludwig field_0,"[('soccer', 2), ('match', 1)]",topic 30
luke bryan_0,"[('light', 1), ('lights', 1)]",topic 22
lumineer_0,"[('concert', 3), ('music', 1)]",topic 20
lumineer_1,"[('music', 3), ('festival', 1)]",topic 20
lv_2,"[('vacation', 2), ('holiday', 1)]",topic 22
mad decent block party_0,"[('glad', 1), ('friend', 1)]",topic 20
mad greek_0,"[('road', 3), ('trip', 2)]",topic 22
maddecentblockparty_0,"[('lit', 1), ('party', 1)]",topic 20
madison square_0,"[('amazing', 1), ('yesterday', 1)]",topic 20
madison square garden_0,"[('amazing', 1), ('magical', 1)]",topic 20
madisonavenue_0,"[('cleared', 1), ('ave', 1)]",topic 1
madisonsquaregarden_0,"[('empire', 2), ('building', 1)]",topic 22
madisonsquarepark_0,"[('shack', 2), ('shake', 1)]",topic 14
magic kingdom_3,"[('halloween', 3), ('scary', 2)]",topic 4
magickingdom_1,"[('main', 3), ('street', 2)]",topic 24
magnificent mile_0,"[('awesome', 1), ('pretty', 1)]",topic 20
magnifique_0,"[('squad', 2), ('goals', 1)]",topic 11
magnolia market_0,"[('trip', 2), ('road', 2)]",topic 22
mainstreetusa_1,"[('magic', 2), ('kingdom', 2)]",topic 4
mall of america_0,"[('store', 1), ('sale', 1)]",topic 9
mallorysquare_0,"[('usa', 1), ('travel', 1)]",topic 22
mallorytown_0,"[('south', 1), ('north', 1)]",topic 1
mammothmountain_0,"[('bike', 2), ('bikes', 1)]",topic 19
mammothstory_0,"[('fall', 1), ('coming', 1), ('winter', 1)]",topic 22
manalapantownship_0,"[('health', 2), ('welfare', 1), ('hhas', 1), ('aide', 1)]",topic 9
manayunk_0,"[('street', 3), ('main', 3)]",topic 24
mandalay_0,"[('bike', 2), ('cycling', 1), ('ride', 1)]",topic 19
mandalay convention_0,"[('bike', 2), ('bikes', 1)]",topic 19
mandalay convention center_0,"[('convention', 2), ('center', 2)]",topic 6
manhattanbridge_0,"[('river', 2), ('bridge', 1)]",topic 22
mapleheight_0,"[('career', 2), ('arc', 2)]",topic 10
margate_0,"[('career', 2), ('arc', 2)]",topic 10
marian schuster_0,"[('arts', 1), ('art', 1)]",topic 24
marinacity_0,"[('architecture', 1), ('building', 1)]",topic 22
mariner_5,"[('win', 4), ('huge', 2)]",topic 30
maroon bell_1,"[('fall', 2), ('autumn', 1)]",topic 22
maroonbell_1,"[('fall', 1), ('autumn', 1)]",topic 22
mary jane fall_0,"[('trail', 1), ('hiking', 1)]",topic 22
matherafb_0,"[('clerical', 2), ('specialist', 1)]",topic 9
maya rudolph_0,"[('singing', 1), ('song', 1)]",topic 20
mbta_1,"[('hey', 1), ('guy', 1)]",topic 20
mccarran_0,"[('airport', 5), ('international', 5), ('plane', 1)]",topic 7
mcmenamin_0,"[('brewery', 1), ('beer', 1)]",topic 14
mdw_0,"[('airport', 2), ('flight', 2), ('international', 1), ('plane', 1)]",topic 7
meadowland sport complex_0,"[('incident', 2), ('update', 1), ('directions', 1)]",topic 1
meatpackingdistrict_0,"[('quick', 1), ('trip', 1)]",topic 22
medalmonday_0,"[('yesterday', 1), ('picture', 1)]",topic 23
medical asstreceptionist ii_1,"[('bonus', 2), ('sign', 1)]",topic 9
medusa restaurant_0,"[('lit', 2), ('party', 1)]",topic 20
melt bar_0,"[('sandwich', 1), ('grilled', 1)]",topic 14
memorial coliseum_0,"[('opener', 1), ('season', 1), ('nfl', 1)]",topic 30
memorial stadium_0,"[('season', 1), ('win', 1), ('football', 1), ('tailgating', 1)]",topic 30
mendotaheight_0,"[('specialist', 1), ('analyst', 1), ('financial', 1), ('finance', 1)]",topic 9
menomonee fall_0,"[('drink', 1), ('craft', 1)]",topic 14
menomoneefall_0,"[('cosmetology', 1), ('cashier', 1), ('representative', 1), ('customer', 1)]",topic 9
mercy lounge_0,"[('music', 1), ('band', 1)]",topic 20
met_13,"[('hanging', 1), ('awesome', 1)]",topic 20
met_14,"[('win', 1), ('field', 1)]",topic 30
met_1,"[('glad', 1), ('friend', 1)]",topic 20
metlife_0,"[('nfl', 3), ('stadium', 3), ('win', 2), ('football', 1), ('opener', 1)]",topic 30
metlife stadium_0,"[('win', 2), ('opener', 1), ('season', 1)]",topic 30
metlifestadium_0,"[('sunday', 2), ('nfl', 1)]",topic 30
metra_1,"[('clouds', 2), ('cloud', 2), ('sky', 1)]",topic 22
metro gallery_0,"[('tomorrow', 1), ('start', 1)]",topic 20
metropolitan_1,"[('art', 2), ('museum', 2)]",topic 24
mia_2,"[('airport', 3), ('international', 3)]",topic 7
miami intl airport_0,"[('airport', 2), ('flight', 1)]",topic 7
miamifl_0,"[('customer', 1), ('services', 1), ('representative', 1)]",topic 9
miamiflea_0,"[('jewelry', 2), ('sale', 1)]",topic 9
miamifood_0,"[('food', 2), ('lunch', 1)]",topic 14
miamilife_3,"[('sunday', 2), ('funday', 1)]",topic 26
miamispice_0,"[('salad', 1), ('lunch', 1)]",topic 14
michigan state university_0,"[('college', 1), ('student', 1)]",topic 28
mickey_5,"[('scary', 3), ('halloween', 1)]",topic 4
microsoft theater_0,"[('gown', 1), ('fashion', 1)]",topic 24
midtown_0,"[('building', 6), ('empire', 2)]",topic 22
midtown_1,"[('music', 3), ('festival', 1)]",topic 20
midway sf_0,"[('mary', 2), ('bloody', 2)]",topic 29
milehigh_1,"[('baby', 1), ('boy', 1)]",topic 20
milehighcity_0,"[('nfl', 2), ('sunday', 1)]",topic 30
milleniumpark_0,"[('sky', 1), ('weather', 1)]",topic 22
milpita_0,"[('sunrise', 1), ('filter', 1)]",topic 22
minneapoli_1,"[('skyline', 2), ('tower', 1)]",topic 22
miramar_3,"[('pkwy', 1), ('closed', 1)]",topic 1
misfit_0,"[('fest', 11), ('festival', 1)]",topic 20
mission district_0,"[('art', 1), ('fine', 1)]",topic 24
mississauga_1,"[('lunch', 2), ('food', 1), ('restaurant', 1)]",topic 14
missouri state university_0,"[('kappa', 2), ('alpha', 1), ('phi', 1), ('pi', 1)]",topic 28
mizzou_0,"[('theta', 2), ('kappa', 1), ('gamma', 1), ('alpha', 1), ('omega', 1)]",topic 28
mke_0,"[('architecture', 2), ('building', 1)]",topic 22
mlbmemorybank_0,"[('stadium', 2), ('beat', 1)]",topic 30
mm2016_0,"[('music', 2), ('festival', 1)]",topic 20
mnsshp_3,"[('current', 1), ('weather', 1)]",topic 22
mnviking_0,"[('stadium', 1), ('football', 1)]",topic 30
mobsquad_1,"[('nfl', 2), ('football', 2), ('opener', 1), ('nation', 1)]",topic 30
models_0,"[('fashion', 1), ('collection', 1)]",topic 24
moffettfield_0,"[('career', 2), ('arc', 2)]",topic 10
moma_0,"[('art', 6), ('museum', 5), ('modern', 4)]",topic 24
moma ps1_0,"[('book', 2), ('books', 1)]",topic 3
momaps1_1,"[('book', 2), ('books', 1)]",topic 3
monsterpalooza_0,"[('amazing', 1), ('awesome', 1)]",topic 20
montage mountain_0,"[('festival', 2), ('music', 2)]",topic 20
monterrey_1,"[('boy', 1), ('bad', 1)]",topic 20
morehouse college_0,"[('thursday', 1), ('tbt', 1)]",topic 20
morgenstern_0,"[('ice', 2), ('cream', 2), ('chocolate', 1)]",topic 14
motorcity_1,"[('tower', 1), ('skyline', 1)]",topic 22
motorwork_0,"[('brewing', 3), ('beer', 1)]",topic 14
mpls_3,"[('opener', 1), ('stadium', 1)]",topic 30
mrolympia_0,"[('gym', 1), ('workout', 1), ('fitness', 1)]",topic 11
msg_0,"[('amazing', 2), ('awesome', 1)]",topic 20
msp_2,"[('fall', 2), ('autumn', 1)]",topic 22
msp_3,"[('airport', 2), ('plane', 1), ('international', 1)]",topic 7
mta_0,"[('subway', 4), ('train', 4), ('station', 2)]",topic 1
mtl_1,"[('art', 4), ('gallery', 2), ('artist', 1)]",topic 24
mtlebanon_0,"[('bread', 2), ('panera', 2)]",topic 9
mtshasta_1,"[('trip', 2), ('road', 1)]",topic 22
mtsu_0,"[('fest', 1), ('music', 1)]",topic 20
multnomah fall_0,"[('waterfalls', 1), ('waterfall', 1)]",topic 22
mumfordandson_0,"[('band', 1), ('music', 1)]",topic 20
muralsinthemarket_0,"[('art', 4), ('gallery', 2), ('artist', 1)]",topic 24
museum of modern_0,"[('gallery', 1), ('art', 1)]",topic 24
music city usa_0,"[('road', 2), ('trip', 1)]",topic 22
music midtown_0,"[('music', 12), ('band', 1)]",topic 20
music midtown festival_0,"[('ya', 1), ('ain', 1)]",topic 20
musiccity_1,"[('beer', 2), ('pale', 1), ('drinking', 1)]",topic 14
musicmidtown_1,"[('music', 17), ('festival', 2), ('fest', 1)]",topic 20
musicmidtown2016_1,"[('music', 2), ('festival', 2)]",topic 20
muskoka_3,"[('lake', 3), ('lakes', 1)]",topic 22
mxbcn_0,"[('bcn', 2), ('accounting', 1)]",topic 9
mydayinla_1,"[('tap', 1), ('craft', 1)]",topic 14
myottawa_0,"[('street', 1), ('photography', 1)]",topic 24
nacogdoche_0,"[('career', 2), ('arc', 2)]",topic 10
nao_0,"[('amazing', 1), ('magical', 1)]",topic 20
napa valley_3,"[('wine', 2), ('winery', 1), ('tasting', 1), ('vineyards', 1)]",topic 14
napa valley_4,"[('wine', 1), ('vineyards', 1)]",topic 14
napavalley_3,"[('wine', 4), ('tasting', 2), ('winery', 1)]",topic 14
napavalley_4,"[('winery', 3), ('wine', 2), ('grape', 1)]",topic 14
napavalley_6,"[('vineyards', 2), ('winery', 2), ('wine', 2)]",topic 14
naple_1,"[('fashion', 1), ('style', 1)]",topic 24
naplesflorida_2,"[('art', 1), ('photography', 1), ('street', 1)]",topic 24
nasa_1,"[('kennedy', 3), ('john', 1)]",topic 7
natronaheight_0,"[('career', 3), ('arc', 3)]",topic 10
navy pier_0,"[('art', 2), ('contemporary', 1)]",topic 24
navy yard_0,"[('running', 1), ('runner', 1)]",topic 22
navyairforcehalfmarathon_0,"[('marathon', 1), ('running', 1)]",topic 22
ncan2016_0,"[('beat', 1), ('college', 1)]",topic 30
nccu_0,"[('student', 2), ('students', 1)]",topic 28
netde_1,"[('awesome', 1), ('cool', 1)]",topic 20
new lab_0,"[('cool', 1), ('awesome', 1)]",topic 20
new orlean_0,"[('music', 1), ('hip', 1), ('hop', 1)]",topic 20
new stadium_1,"[('stadium', 2), ('football', 1), ('beat', 1)]",topic 30
new york city_4,"[('picture', 2), ('pic', 1)]",topic 23
new york city ballet_0,"[('season', 1), ('fall', 1)]",topic 22
new york fashion week_0,"[('street', 2), ('photography', 2)]",topic 24
newenglandpatriots_1,"[('football', 2), ('nfl', 1)]",topic 30
neworlean_1,"[('guitar', 1), ('music', 1)]",topic 20
newportri_0,"[('boat', 1), ('boats', 1)]",topic 22
newyorkcity_8,"[('street', 5), ('art', 2), ('graffiti', 1)]",topic 24
newyorkcity_9,"[('travel', 7), ('usa', 3), ('gram', 1)]",topic 22
newyorkcity_2,"[('travel', 2), ('usa', 1)]",topic 22
newyorkfashionweek_0,"[('fashion', 2), ('style', 1)]",topic 24
newyorkmet_0,"[('ipa', 1), ('beer', 1)]",topic 14
niagara fall_2,"[('falls', 3), ('waterfall', 1)]",topic 22
niagarafall_1,"[('career', 2), ('arc', 2)]",topic 10
niagaraonthelake_0,"[('winery', 2), ('wine', 1)]",topic 14
nickjona_0,"[('jonas', 2), ('nick', 2)]",topic 0
nile_0,"[('career', 2), ('arc', 2)]",topic 10
nmaahc_0,"[('museum', 1), ('history', 1)]",topic 24
nmtrue_3,"[('clouds', 1), ('weather', 1)]",topic 22
nogale_0,"[('engineer', 1), ('engineering', 1)]",topic 9
noho_2,"[('black', 2), ('white', 1)]",topic 21
nola_3,"[('dinner', 2), ('foodie', 1), ('food', 1), ('yummy', 1)]",topic 14
norcal_4,"[('lunch', 1), ('food', 1)]",topic 14
nordstromeaton_0,"[('fashion', 2), ('style', 1)]",topic 24
north bottom_0,"[('season', 1), ('college', 1), ('football', 1)]",topic 30
north park_0,"[('taste', 1), ('delicious', 1)]",topic 14
north texas_0,"[('sept', 1), ('september', 1)]",topic 18
north york_0,"[('dr', 3), ('ave', 1)]",topic 1
northcounty_0,"[('health', 2), ('welfare', 2)]",topic 9
northpark_1,"[('funday', 2), ('sunday', 2), ('nfl', 1)]",topic 26
northrichlandhill_0,"[('career', 3), ('arc', 3)]",topic 10
northwale_0,"[('care', 1), ('technician', 1)]",topic 9
notre dame stadium_0,"[('football', 3), ('tailgating', 2), ('college', 2), ('beat', 1)]",topic 30
novsnyg_0,"[('nfl', 2), ('football', 1)]",topic 30
nrg stadium_0,"[('beyonc', 4), ('fwt', 1)]",topic 20
ntxgivingday_1,"[('north', 1), ('east', 1)]",topic 1
ny giant_1,"[('stadium', 3), ('win', 2), ('opener', 1), ('field', 1), ('football', 1)]",topic 30
nyc_23,"[('skyline', 2), ('cityscape', 1)]",topic 22
nyc_24,"[('blue', 1), ('red', 1)]",topic 21
nyc_28,"[('street', 47), ('graffiti', 5), ('sidewalk', 2)]",topic 24
nyc_29,"[('street', 7), ('art', 6), ('graffiti', 3)]",topic 24
nyc_32,"[('festival', 4), ('music', 2)]",topic 20
nyc_33,"[('picture', 2), ('yesterday', 1)]",topic 23
nyc_36,"[('street', 1), ('photography', 1)]",topic 24
nyc_38,"[('airport', 3), ('bound', 2), ('international', 1)]",topic 7
nyc_39,"[('iron', 3), ('flat', 3)]",topic 3
nyc_19,"[('coast', 1), ('west', 1)]",topic 1
nyceat_1,"[('food', 3), ('porn', 2), ('foodie', 1), ('yum', 1), ('eats', 1)]",topic 14
nyceats_0,"[('food', 2), ('yummy', 1), ('foodie', 1), ('eat', 1), ('lunch', 1), ('eats', 1)]",topic 14
nycfc_1,"[('football', 1), ('field', 1)]",topic 30
nycfood_0,"[('food', 3), ('porn', 2), ('salad', 1)]",topic 14
nycfoodie_0,"[('food', 2), ('porn', 2)]",topic 14
nycskyline_1,"[('skyline', 2), ('filter', 1)]",topic 22
nycstyle_0,"[('fashion', 2), ('style', 1)]",topic 24
nydc_0,"[('design', 3), ('interior', 1)]",topic 24
nygiant_2,"[('win', 2), ('football', 2), ('opener', 1), ('stadium', 1), ('nfl', 1)]",topic 30
nygiant_3,"[('football', 1), ('win', 1)]",topic 30
nypd_3,"[('yeah', 1), ('fuck', 1)]",topic 20
nyu_0,"[('street', 2), ('main', 1)]",topic 24
oakland collesium_0,"[('win', 1), ('stadium', 1)]",topic 30
obetz_0,"[('supply', 3), ('chain', 3)]",topic 9
observatory_1,"[('castles', 2), ('crystal', 2)]",topic 12
observatory_2,"[('music', 1), ('fest', 1)]",topic 20
obx_6,"[('vacation', 8), ('mini', 3)]",topic 22
obx2016_0,"[('girl', 1), ('boy', 1)]",topic 20
oc_6,"[('food', 1), ('vegan', 1)]",topic 14
oc_7,"[('friend', 2), ('awesome', 1)]",topic 20
oc_8,"[('bad', 1), ('boy', 1)]",topic 20
oceanspring_0,"[('career', 2), ('arc', 2)]",topic 10
oculus_0,"[('watching', 1), ('watch', 1)]",topic 30
okc_2,"[('museum', 1), ('art', 1)]",topic 24
okstate_1,"[('start', 1), ('tomorrow', 1)]",topic 20
old dominion university_0,"[('alpha', 3), ('phi', 1), ('sigma', 1), ('gamma', 1), ('delta', 1), ('zeta', 1), ('tau', 1)]",topic 28
oldmontreal_0,"[('photography', 1), ('street', 1)]",topic 24
oldtownsandiego_0,"[('tacos', 1), ('mexican', 1)]",topic 14
ole miss_2,"[('campus', 1), ('student', 1)]",topic 28
olneyspring_0,"[('career', 2), ('arc', 2)]",topic 10
olympia weekend_1,"[('fitness', 2), ('fit', 1)]",topic 11
olympic national park_0,"[('nature', 1), ('hiking', 1)]",topic 22
olympic national park_1,"[('nature', 1), ('hiking', 1)]",topic 22
one pilot_0,"[('band', 1), ('music', 1)]",topic 20
ontario intl_0,"[('airport', 2), ('heading', 1)]",topic 7
ontario intl airport_0,"[('vacation', 1), ('trip', 1)]",topic 22
ontarioplace_0,"[('art', 5), ('piece', 1)]",topic 24
oow16_2,"[('data', 3), ('integration', 2)]",topic 9
openstreet_0,"[('art', 2), ('gallery', 1)]",topic 24
openthegate_1,"[('stadium', 3), ('football', 1), ('opener', 1)]",topic 30
oracle hq_0,"[('trip', 1), ('usa', 1)]",topic 22
orange county_0,"[('dialysis', 1), ('technician', 1), ('care', 1)]",topic 9
orangeca_0,"[('business', 2), ('project', 1)]",topic 9
oregon state_0,"[('college', 1), ('university', 1)]",topic 28
oregoncoast_0,"[('coast', 1), ('east', 1)]",topic 1
oriole_2,"[('mlb', 2), ('ballpark', 1)]",topic 30
oriole park_0,"[('summer', 2), ('perfect', 1)]",topic 22
orioles_0,"[('drinking', 3), ('lager', 1), ('beer', 1), ('ipa', 1)]",topic 14
orlando sanford_0,"[('international', 2), ('airport', 2)]",topic 7
orovalley_0,"[('career', 3), ('arc', 3)]",topic 10
orpheum_0,"[('set', 1), ('tomorrow', 1)]",topic 20
ou_0,"[('football', 1), ('nation', 1)]",topic 30
outer bank_4,"[('vacation', 1), ('island', 1)]",topic 22
output roof_0,"[('thursday', 1), ('tbt', 1)]",topic 20
pacificnw_0,"[('nature', 1), ('trees', 1)]",topic 22
packer_28,"[('nfl', 4), ('stadium', 3), ('season', 1), ('gameday', 1), ('beat', 1), ('football', 1)]",topic 30
packer_30,"[('win', 1), ('lose', 1)]",topic 30
packer_3,"[('win', 1), ('score', 1)]",topic 30
packer_18,"[('football', 1), ('beat', 1)]",topic 30
packer_20,"[('football', 2), ('nfl', 1), ('sunday', 1)]",topic 30
palace_2,"[('win', 2), ('lose', 2)]",topic 30
palace_3,"[('fine', 6), ('art', 6)]",topic 24
palm spring_3,"[('vacation', 1), ('vacay', 1)]",topic 22
palmspring_3,"[('vacation', 2), ('vacay', 1)]",topic 22
palmspring_4,"[('spa', 1), ('resort', 1)]",topic 22
panthernation_0,"[('football', 2), ('gameday', 1)]",topic 30
pappasito s cantina_1,"[('tacos', 1), ('mexican', 1)]",topic 14
park avenue_0,"[('cleared', 1), ('incident', 1), ('construction', 1)]",topic 1
pasoroble_2,"[('career', 2), ('arc', 2)]",topic 10
patriots_4,"[('season', 4), ('football', 2), ('opener', 2), ('stadium', 1)]",topic 30
pats_3,"[('tailgating', 2), ('season', 1), ('football', 1)]",topic 30
patsnation_2,"[('opener', 1), ('football', 1), ('season', 1), ('tailgating', 1)]",topic 30
pcb_0,"[('post', 1), ('late', 1)]",topic 23
pdx_2,"[('foodie', 3), ('pizza', 1), ('dinner', 1), ('lunch', 1), ('food', 1)]",topic 14
pdx_3,"[('airport', 4), ('international', 2)]",topic 7
pdxeat_0,"[('food', 2), ('foodie', 1), ('eat', 1), ('salad', 1)]",topic 14
pdxeats_0,"[('steak', 1), ('foodie', 1)]",topic 14
peaceful protest_0,"[('stay', 2), ('tuned', 1)]",topic 17
penn state_0,"[('band', 1), ('music', 1)]",topic 20
pennsaukentownship_0,"[('career', 2), ('arc', 2)]",topic 10
pennsdale_0,"[('career', 2), ('arc', 2)]",topic 10
pensacolabeach_0,"[('estate', 1), ('listing', 1), ('tour', 1)]",topic 1
petalumaca_0,"[('simon', 3), ('facilities', 2)]",topic 9
pheonix_0,"[('airlines', 1), ('international', 1), ('airport', 1)]",topic 7
philadelphia zoo_0,"[('bird', 1), ('birds', 1)]",topic 21
philly_1,"[('fan', 1), ('win', 1)]",topic 30
philly_2,"[('red', 2), ('eye', 1)]",topic 21
phillyfringe16_0,"[('church', 2), ('baptist', 1)]",topic 0
phl_1,"[('airlines', 2), ('flight', 2), ('southwest', 1), ('airport', 1)]",topic 7
phoenix sky_0,"[('international', 2), ('airport', 2)]",topic 7
phx_1,"[('shop', 2), ('local', 1)]",topic 14
piedmont park_0,"[('music', 5), ('festival', 2)]",topic 20
pier_12,"[('cruise', 1), ('boat', 1)]",topic 22
pier_21,"[('tomorrow', 1), ('catch', 1)]",topic 20
pier39_0,"[('usa', 3), ('travel', 1)]",topic 22
pier59 studio_0,"[('fashion', 2), ('collection', 1)]",topic 24
pikesmarket_0,"[('market', 2), ('farmers', 1)]",topic 15
pikespeak_2,"[('nature', 2), ('clouds', 1)]",topic 22
pilsen_0,"[('street', 3), ('art', 2)]",topic 24
pinella_1,"[('ave', 1), ('collision', 1)]",topic 1
pitfire_0,"[('pizza', 1), ('lunch', 1)]",topic 14
plantation_0,"[('career', 3), ('arc', 3)]",topic 10
playa_4,"[('wall', 1), ('art', 1)]",topic 24
playavista_0,"[('clouds', 1), ('nature', 1)]",topic 22
pleasantonca_0,"[('facilities', 1), ('simon', 1), ('business', 1)]",topic 9
pluto_0,"[('food', 1), ('chef', 1)]",topic 14
pnw_10,"[('nature', 1), ('trail', 1)]",topic 22
pnw_26,"[('fall', 2), ('autumn', 1)]",topic 22
pnw_38,"[('trip', 2), ('explore', 1)]",topic 22
pnw_39,"[('sailing', 1), ('boat', 1)]",topic 22
pnw_45,"[('hip', 1), ('hop', 1), ('music', 1)]",topic 20
pnw_31,"[('hiking', 4), ('trail', 1)]",topic 22
pnw_24,"[('fall', 2), ('leaves', 1)]",topic 22
pnw_9,"[('explore', 2), ('trip', 1)]",topic 22
pnwonderland_0,"[('hiking', 3), ('trail', 2)]",topic 22
point reye_1,"[('mile', 1), ('trail', 1), ('running', 1)]",topic 22
pompano_0,"[('career', 2), ('arc', 2)]",topic 10
port canaveral_0,"[('carnival', 2), ('cruise', 2)]",topic 22
