localword,words,type
bushwick_0,"[('street', 5), ('art', 3), ('mural', 1), ('graffiti', 1)]",topic 24
butchwalker_0,"[('rock', 2), ('roll', 1)]",topic 21
butterfly project_0,"[('art', 1), ('museum', 1)]",topic 24
bwi_0,"[('flight', 2), ('international', 1), ('airport', 1)]",topic 7
bychefchloe_0,"[('quinoa', 1), ('vegan', 1)]",topic 14
bychloe_0,"[('food', 1), ('salad', 1)]",topic 14
cabazonca_0,"[('simon', 2), ('facilities', 1), ('business', 1)]",topic 9
cable car_0,"[('ride', 1), ('riding', 1)]",topic 19
cadillacranch_0,"[('road', 2), ('trip', 1)]",topic 22
caesar_0,"[('trip', 2), ('explore', 1)]",topic 22
caledon_1,"[('yesterday', 1), ('amazing', 1)]",topic 20
caledon_3,"[('aerotek', 2), ('manufacturing', 1)]",topic 9
cali_40,"[('broken', 1), ('weather', 1)]",topic 22
cali_49,"[('winery', 2), ('wine', 2), ('grape', 1)]",topic 14
cali_51,"[('summer', 3), ('endless', 1)]",topic 22
cali_53,"[('downtown', 2), ('skyline', 1)]",topic 22
cali_57,"[('finally', 1), ('friend', 1)]",topic 20
cali_59,"[('lunch', 2), ('break', 1)]",topic 14
cali_15,"[('flight', 1), ('international', 1)]",topic 7
cali_2,"[('nature', 1), ('photography', 1)]",topic 22
calif_0,"[('grill', 1), ('bar', 1)]",topic 14
calif_5,"[('grill', 1), ('bar', 1)]",topic 14
californialove_5,"[('dinner', 1), ('food', 1)]",topic 14
calilife_0,"[('sunday', 2), ('funday', 1)]",topic 26
camden yard_0,"[('season', 2), ('win', 1)]",topic 30
camelback_2,"[('dog', 1), ('instagram', 1)]",topic 23
canadianart_0,"[('art', 2), ('painting', 1)]",topic 24
canelo_4,"[('fight', 2), ('boxing', 1)]",topic 11
canolaconnect_0,"[('apple', 2), ('picking', 1)]",topic 15
cape_9,"[('cafe', 2), ('breakfast', 1)]",topic 14
cape_12,"[('cool', 1), ('pretty', 1)]",topic 20
cape cod_1,"[('gorgeous', 1), ('evening', 1)]",topic 22
capecod_14,"[('summer', 1), ('perfect', 1)]",topic 22
capitola beach_0,"[('sunday', 2), ('funday', 1)]",topic 26
capsuleshow_0,"[('designer', 4), ('fashion', 3), ('collection', 2)]",topic 24
cardinal game_1,"[('nfl', 2), ('football', 1)]",topic 30
career flexibility_0,"[('accounting', 1), ('accountant', 1)]",topic 9
carolinapanther_0,"[('panthers', 1), ('nfl', 1)]",topic 30
carrieunderwood_0,"[('storyteller', 1), ('underwood', 1)]",topic 20
carrollwood_2,"[('teller', 2), ('regions', 2)]",topic 9
catalina island_0,"[('island', 1), ('vacation', 1)]",topic 22
catawba college_0,"[('football', 1), ('college', 1)]",topic 30
cbc_0,"[('party', 3), ('lit', 1)]",topic 20
cbcfalc16_0,"[('museum', 1), ('art', 1)]",topic 24
cbs_3,"[('tomorrow', 1), ('set', 1)]",topic 20
cbusfoodscene_0,"[('foodie', 1), ('food', 1)]",topic 14
cedarrapid_0,"[('career', 3), ('arc', 3)]",topic 10
celinedionvegas_0,"[('dream', 2), ('true', 2)]",topic 11
central park_0,"[('fall', 3), ('autumn', 2)]",topic 22
